"","AddresseeAffiliation","AuthorName","Keyword","MimeType","LicenseNumber","AuthorAffiliation","CaseReferenceNumber","DocumentType","DocketNumber","CompoundDocumentState","EstimatedPageCount","ContentSize","DocumentTitle","AccessionNumber","PublishDatePARS","DocumentDate","URI","AddresseeName","DocumentReportNumber","DateDocketed","PackageNumber"
"49","NRC/Document Control Desk, NRC/NRR","Thigpen J","JRR3, oarc20021212dnw, oarc20021217dnw, OARC20070907mab8, TIFF converted to PDF 11/04/2005","application/pdf","DPR-038, DPR-047, DPR-055, NPF-003, NPF-072, NPF-077","Rockwell Automation",NA,"Part 21 Correspondence","05000269, 05000270, 05000287, 05000346, 05000456, 05000457","false ","5","279,880","Notification of Event 38909 re motor failure experienced by Duke Power Co. Failure caused by winding grounded to frame.","ML021830510","07/10/2002 08:45 AM EDT",2002-06-07,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B91303347-0155-4575-B06F-D427DF9E08F0%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Notification of Event 38909 re motor failure experienced by Duke Power Co. Failure caused by winding grounded to frame.",NA,NA,NA,NA
"50","NRC/Document Control Desk, NRC/NMSS","Hedger T S","DPCautoadd, ems2, OARC20150813wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, tjb2, utsPARS","application/pdf",NA,"Alpha-Omega Services, Inc","51291","Deficiency Correspondence (per 10CFR50.55e and Part 21), Facsimile, Letter, Part 21 Correspondence","07109136, 07109316","false ","7","302,697","Notification of Part 21 - Potential Radioactive Material Transport Packaging Shielding Failing To Comply With 10 CFR 71 .47 And/Or 10 CFR 71.51.","ML15224A541","08/13/2015 03:19 PM EDT",2015-08-05,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B46F9DCDF-FCA1-467F-B426-CE762D215CEA%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Notification of Part 21 - Potential Radioactive Material Transport Packaging Shielding Failing To Comply With 10 CFR 71 .47 And/Or 10 CFR 71.51.",NA,NA,NA,NA
"51","NRC/Document Control Desk, NRC/NMSS","Hedger T S","DPCautoadd, ems2, OARC20150813mtr1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, tjb2, utsPARS","application/pdf",NA,"Alpha-Omega Services, Inc","51291","Deficiency Report (per 10CFR50.55e and Part 21), Facsimile, Letter, Part 21 Correspondence","07109136, 07109316","false ","6","318,318","Notification of Part 21 - Potential Radioactive Material Transport Packaging Shielding Failing To Comply With 10CFR 71.47 And/Or 10 CFR71.51.","ML15223B267","08/13/2015 08:02 AM EDT",2015-08-07,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B1B0CE0D0-416F-4988-94A8-95615226AB0E%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Notification of Part 21 - Potential Radioactive Material Transport Packaging Shielding Failing To Comply With 10CFR 71.47 And/Or 10 CFR71.51.",NA,NA,NA,NA
"52","NRC/Document Control Desk, NRC/NRR","Sharp S M","DPCautoadd, ems2, OARC20150813mtr1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, tjb2, utsPARS","application/pdf","DPR-042, DPR-060","Northern States Power Co, Xcel Energy","52194, L-PI-15-069","Deficiency Report (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","05000282, 05000306","false ","5","211,663","Notification of Part 21 Report - ABB 50H Instantaneous Over Current Protection Relay Failure.","ML15223B265","08/13/2015 08:01 AM EDT",2015-08-06,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BFA2A860C-C624-4529-BA56-51F0F19C9B22%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Notification of Part 21 Report - ABB 50H Instantaneous Over Current Protection Relay Failure.",NA,NA,NA,NA
"53","NRC/Document Control Desk, NRC/FSME","Nicholson B","lcc2, nxp, OARC20030728nxp, oarc20030814jdb3, oarc20040713dnw, oarc20040714dnw, oarc20040715dnw, oarc20040716dnw, oarc20060801mab8, oarc20060803mab8, oarc20060804mab8, oarc20060808mmn, oarc20060809mmn, oarc20060823mab8, oarc20060824mab8, OARC20060829MAB8, oarc20060829mmn, oarc20060830mmn, OARC20060901MAB8, oarc20060907mmn, oarc20060908mmn, oarc20060911mmn, oarc20060928mmn, OARC20061127MAB8, OARC20070123MAB8, OARC20070830MAB8, oarc20080424wjd1, oarc20081028wjd1, OARC20081203SALMAP by admindam1, OARC20090206SXM6 PII Review Complete","application/pdf","DPR-016, DPR-019, DPR-021, DPR-022, DPR-025, DPR-028, DPR-029, DPR-030, DPR-033, DPR-035, DPR-044, DPR-046, DPR-049, DPR-052, DPR-056, DPR-057, DPR-059, DPR-062, DPR-063, DPR-068, DPR-071, NPF-005, NPF-011, NPF-014, NPF-018, NPF-021, NPF-022, NPF-029, NPF-037, NPF-039, NPF-043, NPF-047, NPF-057, NPF-058, NPF-062, NPF-066, NPF-069, NPF-085","Thermo Electron Corp",NA,"Letter, Part 21 Correspondence","05000219, 05000220, 05000237, 05000245, 05000249, 05000254, 05000259, 05000260, 05000263, 05000265, 05000271, 05000277, 05000278, 05000293, 05000296, 05000298, 05000321, 05000324, 05000325, 05000331, 05000333, 05000341, 05000352, 05000353, 05000354, 05000366, 05000373, 05000374, 05000387, 05000388, 05000397, 05000410, 05000416, 05000440, 05000458, 05000461","false ","9","419,182","Notification of possible defect associated with Thermo Westronics Model 2100C Series Recorders.","ML032060429","08/04/2003 10:12 AM EDT",2003-07-21,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B4B346403-A6C1-497F-BED4-ACA4CC4E7E79%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Notification of possible defect associated with Thermo Westronics Model 2100C Series Recorders.",NA,NA,NA,NA
"54",NA,"Rossi C E","AGC, jef1, NRR-052, oarc20080716wjd1, TIFF converted to PDF 10/27/2005","application/pdf",NA,"NRC/NRR",NA,"NRC Information Notice, Part 21 Correspondence",NA,"false ","7","316,535","NRC Information Notice 1989-018, Supplement 1:  Criminal Prosecution of Wrongdoing Committed by Suppliers of Nuclear Products or Services.","ML030300454","02/03/2003 11:23 AM EST",1990-08-24,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B5A943801-45FD-475D-86F7-A6A71C6E9776%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=NRC Information Notice 1989-018, Supplement 1:  Criminal Prosecution of Wrongdoing Committed by Suppliers of Nuclear Products or Services.",NA,"IN-89-018, Suppl 1",NA,NA
"55","NRC/NRR","Crane J T","ALA, Sunsi Review Complete, tjb2, utsPARS, OARC20150617SALMAP by , OARC20150617SALMAP by , OARC20150617SALMAP by ","application/pdf",NA,"Westinghouse Electric Co, LLC","NSAL-15-2","Part 21 Correspondence","05000244, 05000247, 05000250, 05000251, 05000261, 05000266, 05000269, 05000272, 05000275, 05000280, 05000281, 05000282, 05000286, 05000289, 05000301, 05000306, 05000311, 05000315, 05000316, 05000320, 05000322, 05000323, 05000327, 05000328, 05000334, 05000338, 05000339, 05000348, 05000364, 05000369, 05000370, 05000390, 05000391, 05000395, 05000412, 05000413, 05000414, 05000423, 05000443, 05000444, 05000445, 05000446, 05000454, 05000455, 05000456, 05000457, 05000482, 05000483, 05000498, 05000499","false ","9","686,154","NSAL-15-2 - Impact of a Break in the Reactor Coolant Pump No. 1 Seal Leak-off Line Piping on Seal Leakage During a Loss of Seal Cooling Event.","ML15105A346","04/23/2015 02:51 PM EDT",2015-03-23,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BE5A9A9FF-A24B-434A-8F52-DDBE3CF906E6%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=NSAL-15-2 - Impact of a Break in the Reactor Coolant Pump No. 1 Seal Leak-off Line Piping on Seal Leakage During a Loss of Seal Cooling Event.",NA,NA,NA,"ML15105A101"
"56","NRC/Document Control Desk, NRC/NRR","Toomey M","AOA1, DPCautoadd, OARC20160623wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., stt, SUNSI Review Complete, utsPARS","application/pdf",NA,"National Technical Systems, Inc",NA,"Part 21 Correspondence",NA,"false ","1","29,918","NTS Potential Part 21 Letter to NRC dated April 25, 2016 Pertaining to Submergence Testing Documented in Wyle Laboratories Test Report Nos. 45700-1 Rev. A dated November 21, 1988 and 45700-2 Rev. A dated November 21, 1988.","ML16174A398","06/23/2016 02:28 PM EDT",2016-04-29,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B792544DC-3090-426A-806B-7D1CBD7BC455%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=NTS Potential Part 21 Letter to NRC dated April 25, 2016 Pertaining to Submergence Testing Documented in Wyle Laboratories Test Report Nos. 45700-1 Rev. A dated November 21, 1988 and 45700-2 Rev. A dated November 21, 1988.",NA,NA,NA,NA
"57","NRC/Document Control Desk, NRC/NRR","Thigpen J","DPCautoadd, OARC20130906mtr1-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., rls1, SUNSI Review Complete, utsPARS","application/pdf",NA,"Baldor Electric Co",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","05000206, 05000237, 05000249, 05000250, 05000251, 05000259, 05000260, 05000269, 05000270, 05000287, 05000296, 05000327, 05000328, 05000334, 05000335, 05000361, 05000362, 05000389, 05000390, 05000391, 05000412, 05000413, 05000414, 05000438, 05000439, 05000440","false ","7","1,379,650","Nuclear Nonconformance Event Number 49302 - 10CFR21 Notification.","ML13246A087","09/06/2013 08:38 AM EDT",2013-08-23,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BD54C20E8-E0F4-42D8-BCC1-20EBEEA4DE7A%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Nuclear Nonconformance Event Number 49302 - 10CFR21 Notification.",NA,NA,NA,NA
"58","NRC/NRR","Fasnacht J W, Sepp H A","lag, nxp, OARC20071102MAB8, Retrofit, TIFF converted to PDF 11/16/2005","application/pdf",NA,"Westinghouse Electric Co, LLC","-nr, NSAL-93-016","Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence",NA,"false ","10","578,593","Nuclear Safety Advisory Letter (NSAL) from Westinghouse Energy System Business Unit regarding two potential safety issues concerning the use of Containment Spray System.","ML020500012","12/27/2002 08:18 AM EST",1993-08-06,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B543C7446-A9E1-4E91-9BBF-3B42848140EB%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Nuclear Safety Advisory Letter (NSAL) from Westinghouse Energy System Business Unit regarding two potential safety issues concerning the use of Containment Spray System.",NA,NA,NA,NA
"59","NRC/Document Control Desk, NRC/NRR","Baxter D","exb3, stt, utsPARS","application/pdf",NA,"Duke Energy Carolinas, LLC","44312","Letter, Part 21 Correspondence","05000269, 05000270, 05000287","false ","6","228,538","Oconee, Units 1, 2, & 3, Transmittal of Notifications Identification of Defect Breaker Charging Motors, ABB Part Number 709799T11 (Lamb Electric Part Number 116848-00).","ML082070080","08/04/2008 09:22 AM EDT",2008-07-22,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B3AE45E65-865C-43DC-AE68-686E31E269B9%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Oconee, Units 1, 2, & 3, Transmittal of Notifications Identification of Defect Breaker Charging Motors, ABB Part Number 709799T11 (Lamb Electric Part Number 116848-00).",NA,NA,NA,NA
"60","NRC/Document Control Desk, NRC/NRR","Barstow J","AOA1, dnd, EIEAutoPop, OARC20170901wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf","DPR-016, DPR-029, DPR-030","Exelon Generation Co, LLC","RA-17-059, RS-17-122","Letter, Part 21 Correspondence","05000219, 05000254, 05000265","false ","6","2,160,183","Oyster Creek and Quad Cities - Commitments for Resolution of Anchor Darling Double Disc Gate Valve Part 21 Issues.","ML17242A209","09/01/2017 04:39 PM EDT",2017-08-29,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B76853BFC-51B3-4073-B6AC-5A5A5AFEB216%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Oyster Creek and Quad Cities - Commitments for Resolution of Anchor Darling Double Disc Gate Valve Part 21 Issues.",NA,NA,NA,NA
"61","NRC/Document Control Desk, NRC/NRR","Porter D E","DPCautoadd, gjn1, rls1, OARC20130212mtr1-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"GE-Hitachi Nuclear Energy Americas, LLC","48735, MFN 12-111 R2","Deficiency Correspondence (per 10CFR50.55e and Part 21), Deficiency Report (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000219, 05000220, 05000237, 05000249, 05000254, 05000259, 05000260, 05000263, 05000265, 05000271, 05000277, 05000278, 05000293, 05000296, 05000298, 05000321, 05000324, 05000325, 05000331, 05000333, 05000336, 05000341, 05000352, 05000353, 05000354, 05000366, 05000373, 05000374, 05000387, 05000388, 05000397, 05000410, 05000416, 05000423, 05000440, 05000458, 05000461","false ","10","463,687","Part 21 - Completed Evaluation for Potential Error in Main Steam Line High Flow Calculational Methodology.","ML13044A075","03/14/2016 09:40 AM EDT",2013-02-08,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BDD640AD0-3214-4DE4-9BFB-ECD48415B523%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 - Completed Evaluation for Potential Error in Main Steam Line High Flow Calculational Methodology.",NA,NA,NA,NA
"62","NRC/Document Control Desk, NRC/NRR","Alexander J","DPCautoadd, ems2, jef1, OARC20150813mtr1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Westinghouse Electric Co, LLC",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000327, 05000328","false ","3","149,225","Part 21 - Damaged Surveillance Capsules.","ML15223B268","08/13/2015 08:01 AM EDT",2015-08-07,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B9DF8F98A-4BAA-491E-8D2F-D2EEF02CD9EE%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 - Damaged Surveillance Capsules.",NA,NA,NA,NA
"63","NRC/NRR","Bledsoe S, Gill T","DPCautoadd, gps1, jrr3, OARC20170616dnd-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Curtiss-Wright Nuclear Division",NA,"Deficiency Report (per 10CFR50.55e and Part 21), Part 21 Correspondence",NA,"false ","15","731,892","Part 21 - Potential Defect in Grayboot Socket Contacts.","ML17165A406","06/16/2017 08:52 AM EDT",2017-06-09,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B59BA60BF-7ECB-4BC0-83B8-7D6FF1D22F98%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 - Potential Defect in Grayboot Socket Contacts.",NA,NA,NA,NA
"64","NRC/Document Control Desk, NRC/NRR","Porter D E","DPCautoadd, ems2, OARC20140320mtr1-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., rls1, SUNSI Review Complete, utsPARS","application/pdf",NA,"GE-Hitachi Nuclear Energy Americas, LLC","49908, MFN 14-010 R0","Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000219, 05000237, 05000249, 05000254, 05000259, 05000260, 05000265, 05000277, 05000278, 05000296, 05000341, 05000397","false ","6","187,978","Part 21 - Unseating Of Valve Spring On Scram Solenoid Pilot Valve.","ML14079A027","03/20/2014 03:27 PM EDT",2014-03-13,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B0A03BA16-3864-4E5C-84A2-73158D054BBF%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 - Unseating Of Valve Spring On Scram Solenoid Pilot Valve.",NA,NA,NA,NA
"65","NRC/Document Control Desk, NRC/NRR","Porter D E","gjn1, oarc20100907jrr3=1. Availability Changed to Non-Public. 2. Docket Numbers Added., OARC20100908sih-Removed Non-Public Pending Review and added SUNSI comment, review date and release date., stt, SUNSI Review Complete, utsPARS","application/pdf",NA,"GE-Hitachi Nuclear Energy Americas, LLC","MFN 10-245","Letter, Part 21 Correspondence","05000219, 05000220, 05000237, 05000249, 05000254, 05000259, 05000260, 05000263, 05000265, 05000271, 05000277, 05000278, 05000293, 05000296, 05000298, 05000321, 05000324, 05000325, 05000331, 05000333, 05000341, 05000352, 05000353, 05000354, 05000366, 05000373, 05000374, 05000387, 05000388, 05000397, 05000410, 05000416, 05000440, 05000458, 05000461","false ","7","216,173","Part 21 60-Day Interim Report Notification: Failure to Include Seismic Input in Channel-Control Blade Interference Customer Guidance.","ML102460537","09/08/2010 10:09 AM EDT",2010-09-02,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BC8A5415F-DAB7-4D1C-8D04-A0901F3F77D8%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 60-Day Interim Report Notification: Failure to Include Seismic Input in Channel-Control Blade Interference Customer Guidance.",NA,NA,NA,NA
"66","NRC/NRR","Dietrich D","lxk1, OARC20091130jld1=1. Removed Non-Public Pending Review-Released 2. Added the SUNSI comment and review date, OARC20091130jld1=1.Added release date 2. Changed Availability to Public, SUNSI Review Complete, tjb2, utsPARS","application/pdf",NA,"Wartsila France S.A.S","QSE 091116/01","Facsimile, Part 21 Correspondence","05000282, 05000306, 05000317, 05000318","false ","3","97,165","PART 21 Communication Involving Wartsila type SACM UD45 Emergency Diesel Generating sets Big end Bearings installed in the US Nuclear Power Stations of Constellation Energy at Calvert Cliffs and Xcel Energy at Prairies Island.","ML093290046","11/30/2009 04:36 PM EST",2009-11-16,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B3B4AE697-046D-4E75-873F-8F0F12CE88CD%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=PART 21 Communication Involving Wartsila type SACM UD45 Emergency Diesel Generating sets Big end Bearings installed in the US Nuclear Power Stations of Constellation Energy at Calvert Cliffs and Xcel Energy at Prairies Island.",NA,NA,NA,NA
"67","NRC/Document Control Desk, NRC/NRR","Post J S","axw7, OARC20051017rbs=1 changed availability, 2 added SISP Review, 3 made immediately available, OARC20051020AGC = Added Docket Numbers, oarc20060824mab8, OARC20070907mab8, SISP Review Complete, tjb2","application/pdf","DPR-044, DPR-056","General Electric Co","+sisprbs20051019, MFN 05-107","Letter, Part 21 Correspondence","05000277, 05000278, 05000390","false ","3","100,967","Part 21 Communication: Testing to ANSI Standards Complete on Circuit Breaker Replacement Primary Bushings.","ML052910389","10/19/2005 09:33 AM EDT",2005-10-13,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B6BADFADA-2944-4B91-A316-63EE65642A78%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Communication: Testing to ANSI Standards Complete on Circuit Breaker Replacement Primary Bushings.",NA,NA,NA,NA
"68","NRC/Document Control Desk, NRC/NRR","Koski K J","DPCautoadd, ems2, JEF1, OARC20150902wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Furmanite America, Inc",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000250, 05000251, 05000315, 05000316, 05000335, 05000341, 05000352, 05000353, 05000369, 05000370, 05000389, 05000413, 05000414, 05000528, 05000529, 05000530","false ","4","152,782","Part 21 Furmanite Nuclear Grade Leak Seal Material FSC-N-1B.","ML15243A174","09/02/2015 03:39 PM EDT",2015-08-25,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B1683FD7F-9F4E-4F99-B26E-9DEE59841F1F%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Furmanite Nuclear Grade Leak Seal Material FSC-N-1B.",NA,NA,NA,NA
"69","NRC/Document Control Desk, NRC/NRR","Klein J","DPCautoadd, ems2, jef1, OARC20150813mtr1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Crane Nuclear, Inc",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","05000245, 05000336, 05000423","false ","6","301,199","Part 21 Interim Report - Notification Of Pressure Seal Valve Yoke Material Compliance.","ML15224A543","08/13/2015 08:03 AM EDT",2015-08-10,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B2210A0FB-8672-4CD4-AEE6-F14DD2E3EA31%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Interim Report - Notification Of Pressure Seal Valve Yoke Material Compliance.",NA,NA,NA,NA
"70","NRC/NRR, NRC/RGN-II","Winfield L H","OARC20020415RLS1, oarc20020510jdb3, oarc20021203dnw, oarc20021204mmn, oarc20030618dnw, oarc20030707dnw, TIFF converted to PDF 12/12/2005","application/pdf","DPR-057, NPF-005","Dresser Equipment Group, Inc",NA,"Part 21 Correspondence","05000321, 05000366","false ","4","196,426","PART 21 NONCOMPLIANCE REPORT, DRESSER VALVES NAME PLATE AND CODE PLATE HAVE INCORRECT SET PRESSURE INFORMATION  AT HATCH.","ML003708815","05/03/2000 08:12 AM EDT",2000-04-27,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B5FCDB62A-75B9-4529-A0EE-BBF57B95F4E6%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=PART 21 NONCOMPLIANCE REPORT, DRESSER VALVES NAME PLATE AND CODE PLATE HAVE INCORRECT SET PRESSURE INFORMATION  AT HATCH.","Fredrickson P E, Hodge C V",NA,NA,NA
